Prioridade,Status,name,name_PtBr,subname,subname_PtBr,ability,ability_PtBr,flavorText,flavorText_PtBr,initiative,initiative_PtBr
,Ok,Lore's Chamber of Recall,Câmara da Recordação de Lore,,,"When this becomes the active Location, remove all cards in each general discard pile from the game.
Mirage: At the beginning of combat, engaged Creatures in this space with 30 or less Scanned Energy gain 30 Energy.","Quando este Local se tornar o Local ativo, remova todas as cartas de cada pilha de descarte geral do jogo.
Miragem: No início do combate, as Criaturas Engajadas neste espaço com 30 ou menos de Energia Escaneada ganham 30 de Energia.",,,Power,Poder
,Ok,M'arrillian Pulse Beacons,Faróis de Pulso M'arrillian,,,"When this becomes the active Location, flip all face-up Battlegear face-down.","Quando esta Localização se tornar ativa, vire todas as unidades de equipamento de batalha com a face para cima para baixo.",The M'arrillians need not be present to make their presence felt.,Os M'arrillians não precisam estar presentes para fazerem sentir a sua presença.,Power,Poder
,Ok,Mipedian Dew Farm,Fazenda de Orvalho Mipedian,,,"Batedors have :water:Water.
Engaged Creatures with :water:Water have :genericmugic:: Heal 10 damage to target Creature.""","Exploradores possuem :water:Água.
Criaturas Engajadas com :water:Água possuem :genericmugic:: Cura 10 de dano à Criatura alvo.","Under the sun, one drop is the difference between life and death.","Sob o sol, uma gota pode ser a diferença entre a vida e a morte.",Courage,Coragem
,Ok,Mipedim Lounge,Lounge Mipedim,,,"Mirage: When an Attack Card is played by a Creature in this space, its controller can flip a coin. If tails, that player sacrifices his engaged Creature. If heads, the attack deals an additional 10 damage, and that player can flip again.","Miragem: Quando uma Carta de Ataque é jogada por uma Criatura neste espaço, seu controlador pode lançar uma moeda. Se sair coroa, aquele jogador sacrifica sua Criatura Engajada. Se sair cara, o ataque causa 10 pontos de dano adicionais, e aquele jogador pode lançar uma moeda novamente.",,,Invisibility,Invisibilidade
,Ok,Mipedim Mirage,Miragem Mipedim,,,"Creatures have ""Swift 1.""
Mirage: If an adjacent Creature can move into this space, it must do so.","As Criaturas têm ""Velocidade 1"".
Miragem: Se uma Criatura adjacente puder se mover para este espaço, ela deverá fazê-lo.","No one believed what the Muges saw, except for Tiaane.","Ninguém acreditou no que os Muges viram, exceto Tiaane.",Danian,Danian
,Ok,Mipedim Oasis,Oásis Mipedim,,,Mipedian Creatures deal an additional 10 damage with their first attack each combat.,As Criaturas Mipedianas causam 10 pontos de dano adicionais com seu primeiro ataque em cada combate.,"For those struggling in the Mipedian Desert, this is a welcome sight. But it is what they can't see that will prove most dangerous.","Para aqueles que lutam para sobreviver no Deserto Mipediano, esta é uma visão bem-vinda. Mas é o que eles não conseguem ver que se revelará mais perigoso.",Courage,Coragem
,Ok,Mipedim Tropics,Trópicos Mipedim,,,"Mipedian Creatures have :water:Water and "":water:Water 5.""","As Criaturas Mipedianas têm :water:Água e "":water:Água 5.""","Though widely dismissed as anomalies, the first minuscule desert patches were signs that paradise was not forever.","Embora amplamente descartadas como anomalias, as primeiras minúsculas manchas de deserto foram sinais de que o paraíso não era para sempre.",Courage,Coragem
,Ok,Mipedim Valley,Vale Mipedim,,,Battlegear equipped to Creatures without :air:Air is not flipped face-up at the beginning of combat.,Equipamentos de batalha equipados em Criaturas sem o Elemento :air:Ar não são virados para cima no início do combate.,Some Mipedians yearn for a home from the unforgiving desert. And they may have just found it.,Alguns Mipedians anseiam por um lar longe do deserto implacável. E talvez o tenham encontrado.,Water,Água
,Ok,Mommark's Catapult Tower,Torre de catapulta da Mommark,,,"When this becomes the active Location, Creatures you control gain ""Swift 1.""","Quando este Local se torna o Local ativo, as Criaturas que você controla ganham ""Velocidade 1"".",,,Speed,Velocidade
,Ok,Mount Pillar,Pilar do Monte,,,"When this becomes the active Location, activate Hive.","Quando este Local se tornar o Local ativo, ative Colmeia.","The Danian homeland provides vital structural support to the UnderWorld ceiling, explaining why Chaor has resisted its demolition.","A pátria dos Danians fornece um suporte estrutural vital para o teto do Submundo, explicando por que Chaor resistiu à sua demolição.",Wisdom,Sabedoria
,Ok,Mount Pillar Reservoir,Reservatórios do Pilar do Monte,Neth'uar's Foothold,Ponto de apoio de Neth'uar,"When this becomes the active Location, each player can return a Chieftain Creature Card from their general discard pile to play to any unoccupied space on their side of the Battleboard. 
Creatures that are a M'arrillian or a Minion have "":water:Water 5.""","Quando este Local se torna o Local ativo, cada jogador pode retornar uma Carta de Criatura Chefe de sua pilha de descarte geral para o jogo em qualquer espaço desocupado em seu lado do Tabuleiro de Batalha.

Criaturas que são um M'arrillian ou um Lacaio têm "":water:Água 5.""",,,Courage,Coragem
,Ok,Mount Pillar Reservoir,Reservatório do Pilar do Monte,Liberated,Libertado,"When this becomes the active Location, each player Infects an Uninfected Creature they control.","Quando este Local se torna o ativo, cada jogador infecta uma Criatura não infectada que controla.",The Danians' lifeblood is also the root of the Mipedians' hatred.,A essência vital dos Danians é também a raiz do ódio dos mipedianos.,Danian,Danian
,Ok,Mount Pillar Reservoir,Reservatório do Pilar do Monte,,,"Creatures have ""Fireproof 10.""
Danian Creatures have "":water:Water 5.""","As Criaturas têm ""Resistência ao Fogo 10"".
As Criaturas Danians têm "":water:Água 5"".",All Danians know that the Reservoir is the well-spring of life. It must be defended to the death.,Todos os Danians sabem que o Reservatório é a fonte da vida. Ele deve ser defendido até a morte.,Water,Água
,Ok,Najarin's Castle,Castelo de Najarin,,,"When this becomes the active Location, each player can discard a Mugic Card. If they do, they can return a Mugic Card from their general discard pile to their hand.","Quando este Local se torna o Local ativo, cada jogador pode descartar uma Carta Mugic. Se o fizer, pode retornar uma Carta Mugicda sua pilha de descarte geral para a sua mão.",,,Mugic counters,Contadores de Mugic
,Ok,Numin Voidland,Terra Nula de Numin,,,"At the beginning of combat, engaged Creatures lose all Elemental Types and gain 10 Energy for each Elemental Type lost this way.","No início do combate, as Criaturas Engajadas perdem todos os seus Tipos Elementais e ganham 10 de Energia para cada Tipo Elemental perdido dessa forma.","Nothing survives here, not even the M'arrillians themselves!","Nada sobrevive aqui, nem mesmo os próprios M'arrillians!",Scanned Energy,Energia Escaneada
,Ok,Oipont's Lookout,Mirante de Oipont,,,"Creatures with :air:Air have :earth:Earth.
If Hive is Active, Danian Creatures have :air:Air and :earth:Earth.","Criaturas com :air:Ar possuem :earth:Terra.
Se a Colmeia estiver ativa, as Criaturas Danians possuem :air:Ar e :earth:Terra.","From high above, Danians can see deep into the heart of the UnderWorld, including invading armies days in advance.","Do alto, os Danians conseguem enxergar o coração do Submundo, inclusive exércitos invasores com dias de antecedência.",Courage,Coragem
,Ok,Open Doors of the Deepmines,Portas Abertas das Minas Profundas,,,Minion Creatures are treated as if their controller also controlled a Chieftain.,As Criaturas Lacaios são tratadas como se seu controlador também controlasse um Chefe.,"""Prepare yourselves! This is the nightmare I foretold!"" — Najarin","""Preparem-se! Este é o pesadelo que eu previ!"" — Najarin",Minion,Minion
,Ok,OverWorld Embassy at Mipedim Oasis,Embaixada Outro Mundo no Oásis Mipedim,,,"When this becomes the active Location, shuffle any Mirage Locations on the Battleboard into their controllers' Location Decks. 
Mipedian Creatures have :water:Water.","Quando este Local se tornar o Local ativo, embaralhe quaisquer locais Miragem no tabuleiro de batalha nos baralhos de locais de seus controladores.

As Criaturas Mipedians têm :water:Água.",Its outward tranquility masks the tumult within.,Sua aparente tranquilidade mascara o tumulto interior.,Wisdom,Sabedoria
,Ok,OverWorld Embassy at Mount Pillar,Embaixada Outro Mundo no Pilar do Monte,,,"When this becomes the active Location, Uninfect all Creatures.","Quando este Local se tornar o ativo, descontamine todas as Criaturas.","Though adorned with oah and jij plants from his village, one look outside his window reminds Raznus that he's far from home.","Embora decorado com plantas oah e jij de sua aldeia, um olhar pela janela faz Raznus se lembrar de que está longe de casa.",Wisdom,Sabedoria
,Ok,Pouril Forest,Floresta Pouril,,,Creatures do not have and cannot gain Defender.,As Criaturas não possuem e não podem adquirir a habilidade Defensor.,The most peaceful place in Perim... until Yokkis shows up and slaps a pie in your face!,O lugar mais tranquilo de Perim... até o Yokkis aparecer e jogar uma torta na sua cara!,Courage,Coragem
,Ok,Prexxor Chasm,Abismo de Prexxor,The Blight,A Praga,"At the beginning of the turn, choose a Creature your opponent controls and they choose a Creature you control. Relocate your Creature into the opposing Creature's space and begin combat. This does not count toward your one combat per turn.","No início do turno, escolha uma Criatura que seu oponente controla e ele escolhe uma Criatura que você controla. Mova sua Criatura para o espaço da Criatura oponente e inicie o combate. Isso não conta para o seu limite de um combate por turno.",,,Past,Passado
,Ok,Prexxor Chasm,Abismo de Prexxor,,,"Non-Caretaker Creatures cannot be healed or gain Energy from non-innate abilities.
Mirage: Creatures in this space have 20 less Energy.","Criaturas que não sejam Cuidadoras não podem ser curadas nem ganhar energia de habilidades não inatas.
Miragem: Criaturas neste espaço têm 20 de energia a menos.","Forever insatiable, The Blight consumes all.","Insaciável para sempre, a Praga consome tudo.",Power,Poder
,Ok,Prototype Demolition Field,Campo de Demolição Prototípico,,,"When a Creature deals 20 or more damage with its first attack each combat, destroy all Battlegear equipped to it.","Quando uma Criatura causar 20 ou mais pontos de dano com seu primeiro ataque em cada combate, destrua todos os seus equipamentos de batalha.",Finish first? I'm more worried about finishing in one piece!,Chegar em primeiro? Estou mais preocupado em chegar inteiro!,Speed,Velocidade
,Ok,Psi-fanger's Shelf,Prateleira do Psi-presa,,,"If a player would draw and play an Attack, they return an Attack from their Attack Discard pile to their hand and play an Attack instead. If an Attack played this way would go to the discard pile, place it on the bottom of its owner's Attack Deck instead.
If any Attack Discard pile is empty, reveal a new active location.","Se um jogador fosse comprar e jogar um Ataque, ele devolve um Ataque da sua pilha de descarte de Ataques para a mão e joga um Ataque em vez disso. Se um Ataque jogado desta forma fosse para a pilha de descarte, coloque-o no fundo do baralho de Ataques do seu dono.
Se alguma pilha de descarte de Ataques estiver vazia, revele uma nova Localização ativa.",,,Power,Poder
2,Ok,Psikoom Madness Chamber,Câmara da Loucura Psikoom,,,"Engaged Creatures have ""Exhaust :courage:Courage 5"" and ""Exhaust :wisdom:Wisdom 5.""","Criaturas Engajadas têm ""Exaustão :courage:Coragem 5"" e ""Exaustão :wisdom:Sabedoria 5"".",The lucky ones go insane.,Os sortudos enlouquecem.,Courage,Coragem
,Ok,Pyrogenousist's Hearth,Lareira do Pirógeno,,,"At the beginning of combat, deal 10 damage to each engaged Creature with no Mugic counters on them.","No início do combate, cause 10 pontos de dano a cada Criatura Engajada que não possua marcadores de Mugic.",,,Fire,Fogo
,Ok,Quarters of the Quartet,Quartos do Quarteto,,,"While a player controls exactly four Tribes, that player's Creatures have ""Untargetable by opponents.""","Enquanto um jogador controlar exatamente quatro Tribos, as Criaturas desse jogador terão a habilidade ""Inalvejáveis pelos oponentes"".","Four minds, one heart, Perim forever.","Quatro mentes, um só coração, Perim para sempre.",Mugic counters,Contadores de Mugic
,Ok,Queen's Gate,Portão da Rainha,,,Creatures engaged with Batedors do not have and cannot gain Invisibility.,Criaturas que interagem com Batedores não possuem e não podem adquirir Invisibilidade.,"""Did you hear something moving? Did you see something moving? I think I just touched something moving...""","""Você ouviu alguma coisa se mexendo? Você viu alguma coisa se mexendo? Acho que acabei de tocar em alguma coisa que estava se mexendo...""",Speed,Velocidade
,Ok,Rao'Pa Sahkk,Rao'Pa Sahkk,Condensation Ceremony,Cerimônia de Condensação,"When this becomes the active Location, each player sacrifices a Battlegear. 
When a M'arrillian or Minion Creature wins a Challenge on an Attack it plays, that Creature gains 5 Energy.","Quando este Local se torna o Local ativo, cada jogador sacrifica um Equipamento de Batalha.
Quando uma Criatura M'arrillian ou Lacaio vence um Desafio em um Ataque que ela joga, essa Criatura ganha 5 de Energia.",,,Speed,Velocidade
,Ok,Rao'Pa Sahkk,Rao'Pa Sahkk,Ihun'kalin's Foothold,Ponto de apoio de Ihun'kalin,"Attacks that are either :air:Air or :earth:Earth deal an additional 5 damage. (Attacks which are both :air:Air and :earth:Earth deal only 5 additional damage.)
When a :water:Water attack is played, that attack's controller reveals a new active Location.
Mirage: When combat ends, put a :genericmugic: on Creatures in this space who were engaged.","Ataques que sejam :air:Ar ou :earth:Terra causam 5 de dano adicional. (Ataques que forem ambos causam apenas 5 de dano adicional.)
Quando um ataque :water:Água for jogado, o controlador desse ataque revela um novo Local ativo.
Miragem: Quando o combate terminar, coloque um :genericmugic: nas Criaturas neste espaço que estavam Engajadas.",,,Fire,Fogo
,Ok,Rao'Pa Sahkk,Rao'Pa Sahkk,The Ocean with No Water,O oceano sem água,Creatures without :water:Water cannot spend Mugic counters to play Mugic or abilities.,Criaturas sem :water:Água não podem gastar marcadores de Mugic para jogar Mugic ou usar habilidades.,"Fluidmorphers can manipulate all water, from vast oceans to individual droplets of vapor.","Os Liquimorfos podem manipular toda a água, desde vastos oceanos até gotículas individuais de vapor.",Earth,Terra
,Ok,Ravanaugh Ridge,Crista de Ravanaugh,,,"At the beginning of combat, if a player controls an engaged Creature with :air:Air, that player can look at the top three cards of their Attack Deck, put one of them on top of that deck and the others on the bottom in any order.","No início do combate, se um jogador controlar uma Criatura Engajada com :air:Ar, esse jogador pode olhar as três cartas do topo do seu Baralho de Ataque, colocar uma delas no topo desse baralho e as outras no fundo, em qualquer ordem.",,,Power,Poder
1,Ok,Riverlands,Terras Ribeirinhas,Abandoned Wastes,Resíduos Abandonados,"When this becomes the active Location, each player removes a :genericmugic: from a Creature they control.
Attacks deal 5 less damage to Creatures that are a M'arrillian or a Minion.","Quando este Local se torna o Local ativo, cada jogador remove um :genericmugic: de uma Criatura que controla.
Ataques causam 5 pontos de dano a menos a Criaturas M'arrillian ou Lacaio.",,,Wisdom,Sabedoria
1,Ok,Riverlands,Terras Ribeirinhas,Erak'tabb's Foothold,Ponto de apoio de Erak'tabb,"When this becomes the active Location, each player shuffles their attack hand into their Attack Deck and draws two Attack Cards.","Quando este Local se torna o Local ativo, cada jogador embaralha sua mão de ataque em seu Baralho de Ataque e compra duas Cartas de Ataque.",,,Fewest Elements,Menos elementos
1,Ok,Riverlands,Terras Ribeirinhas,,,"When a Creature deals :water:Water damage, heal 5 damage to it.","Quando uma Criatura causar dano de :water:Água, cure 5 pontos de dano a ela.",No one has yet to reach the source of the rushing waters. Could the Cothica be where it all begins?,Ninguém ainda conseguiu chegar à nascente das águas turbulentas. Será que a Cothica é onde tudo começa?,Wisdom,Sabedoria
,Ok,Rock River Canyon,Cânion do Rio Rock,,,Creatures with :earth:Earth have an additional 10 Energy.,Criaturas com :earth:Terra têm 10 de Energia adicionais.,A metaphor for patience: just one tiny stream carved the land into a canyon over the course of a thousand generations.,Uma metáfora para a paciência: um único riacho minúsculo esculpiu a terra em um cânion ao longo de mil gerações.,Courage,Coragem
,Ok,Royal Mipedian Academy of Melee Arts,Academia Mipediana de Artes de Combate Corpo a Corpo,,,"Non-attack damage is reduced to 0. 
Mirage: Creatures in this space cannot be targeted by Mugic.","O dano que não seja de ataque é reduzido a 0.
Miragem: As Criaturas neste espaço não podem ser alvo de Mugic.","Trust not blades, for they break. Trust not shields, for they shatter. Trust only yourself, who can neither break nor shatter.","Não confie em lâminas, pois elas quebram. Não confie em escudos, pois eles se estilhaçam. Confie apenas em si mesmo, que não pode quebrar nem se estilhaçar.",Speed,Velocidade
1,Ok,Runic Grove,Bosque Rúnico,,,Tribal Mugic cannot be played.,Mugics Tribais não podem ser jogados.,Secret symbols or a simple secret? Many have been tantalized by what remains indecipherable to this day.,Símbolos secretos ou um simples segredo? Muitos têm sido intrigados pelo que permanece indecifrável até hoje.,Courage,Coragem
,Ok,Sands of the Unseen,Areias do Oculto,,,"Creatures with :air:Air have ""Invisibility: Strike 10.""","Criaturas com :air:Air têm ""Invisibilidade: Golpe 10"".","Danians seek the answers to Mipedian invisibility, but they realize too late that some secrets should remain mysteries.","Os Danians buscam respostas para a Invisibilidade mipediana, mas percebem tarde demais que alguns segredos devem permanecer mistérios.",Courage,Coragem
,Ok,Sha-Kree Flats,Planície de Sha-Kree,,,"At the beginning of combat, engaged Elementalist Creatures gain an Elemental type of their controller's choice.","No início do combate, as Criaturas Elementalistas Engajadas ganham um tipo Elemental à escolha de seu controlador.","Flat, dry, inhospitable. Perfect!","Plano, seco, inóspito. Perfeito!",Mipedian,Mipediano
,Ok,Shardcrafters' Workshop,Oficina dos Artesãos de Fragmentos,,,"Shard Battlegear have ""Equipped Creature deals an additional 5 attack damage."" 
Battlegear cannot be flipped face-down.","Os Equipamento de Batalha de Fragmentos têm a habilidade ""A Criatura equipada causa 5 pontos de dano de ataque adicionais"".

Os Equipamento de Batalha de Fragmentos não podem ser virados para baixo.",Kha'rall are nearly unstoppable. The shards guarantee that they are.,Os Kha'rall são praticamente imparáveis. Os fragmentos garantem isso.,Wisdom,Sabedoria
,Ok,Silchaw's Mine,Mina de Silchaw,,,Attacks that would deal more than 20 damage to Creatures with :earth:Earth deal 20 damage instead.,Ataques que causariam mais de 20 de dano a Criaturas com :earth:Terra causam 20 de dano em vez disso.,"Since Aszil opened the Tremor Gate, the very bedrock of Silchaw's mine has gone mad!","Desde que Aszil abriu o Portal do Tremor, a própria rocha matriz da mina de Silchaw enlouqueceu!",Courage,Coragem
,Ok,Siril'ean's Lair,Covil de Siril'ean,,,"At the beginning of combat, if a player has fewer Mugic Cards in hand than the number of Creatures they control, that player discards a Mugic Card.","No início do combate, se um jogador tiver menos Cartas de Mugic na mão do que o número de Criaturas que controla, esse jogador descarta uma Carta de Mugic.",,,Courage,Coragem
,Ok,Skeletal Springs,Fontes Esqueléticas,,,"Creatures with :water:Water have "":water:Water 5."" 
Fluidmorpher Creatures cannot have Mugic counters put on them or use Mugic counters to pay for Mugic or abilities.","Criaturas com :water:Water têm "":water:Water 5.""

Criaturas Liquimorfas não podem receber marcadores de Mugic nem usar marcadores de Mugic para pagar por Mugic ou habilidades.",,,OverWorld,Outro Mundo
,Ok,Star Towers of Kehn-sep,Torres Estelares de Kehn-sep,,,"At the beginning of combat, if an engaged Creature has higher :wisdom:Wisdom than the opposing engaged Creature, that Creature's controller can remove a :genericmugic: from a Creature they control. If they do, they can put a :genericmugic: on a Creature they control.","No início do combate, se uma Criatura Engajada tiver :wisdom:Sabedoria maior que a Criatura Engajada oponente, o controlador dessa Criatura pode remover um :genericmugic: de uma Criatura que controla. Se o fizer, pode colocar um :genericmugic: em uma Criatura que controla.",,,Air,Ar
,Ok,Stone Pillar,Pilar de Pedra,,,Engaged UnderWorld Creatures pay 1 less :underworldmugic: to play their first Mugic this turn.,Criaturas do Submundo Engajadas pagam 1 a menos de :underworldmugic: para jogar seu primeiro Mugic neste turno.,"Without the Pillars there would be no Over and Under, but simply one World.","Sem os Pilares não haveria ""Acima e Abaixo"", mas simplesmente um único Mundo.",Wisdom,Sabedoria
,Ok,Stormgrounds,Terrenos de tempestade,,,Minion Creatures' activated abilities cost an additional :genericmugic: to play.,As habilidades ativadas das Criaturas Lacaio custam um :genericmugic: adicional para serem jogadas.,The lightning storm has raged for hundreds of years... and will continue to do so long after every Creature is gone.,A tempestade de raios assola a Terra há centenas de anos... e continuará a fazê-lo muito depois de todas as Criaturas terem desaparecido.,Courage,Coragem
,Ok,Stronghold Morn,Fortaleza Alvorada,,,"At the beginning of combat, engaged Creatures gain :fire:Fire, :water:Water, :air:Air, and :earth:Earth.","No início do combate, as Criaturas Engajadas ganham :fire:Fogo, :water:Água, :air:Ar e :earth:Terra.",,,Speed,Velocidade
,Ok,Tablet Sanctuary,Santuário da Tábua,,,"At the beginning of combat, put a :genericmugic: on the engaged Creature with the most Elemental types.","No início do combate, coloque um :genericmugic: na Criatura Engajada com o maior número de tipos Elementais.","Though the tablet answered many long-debated questions, not every Creature liked the answers.","Embora a tábua tenha respondido a muitas perguntas debatidas há muito tempo, nem todas as Criaturas gostaram das respostas.",Speed,Velocidade
,Ok,The Barracks,O Quartel,,,"At the end of combat, if a Warrior you control was engaged that combat, you can relocate it to any unoccupied space on the Battleboard adjacent to it.","Ao final do combate, se um Guerreiro que você controla esteve engajado nesse combate, você pode realocá-lo para qualquer espaço desocupado no Tabuleiro de Batalha adjacente a ele.",Rest well tonight. Another harsh day awaits.,Durma bem esta noite. Outro dia difícil o aguarda.,Power,Poder
,Ok,The Cliffs,Os Penhascos,,,"At the beginning of combat, all Creatures gain :earth:Earth.","No início do combate, todas as Criaturas ganham :earth:Terra.","No matter how hard they tried, the Danians could not win the staring contest.","Por mais que tentassem, os Danians não conseguiam vencer a competição de encarar.",Power,Poder
,Ok,The Coralsmithy,A Ferraria de Corais,,,"When an attack that has both :fire:Fire and :water:Water is played by a Creature, its controller can swap one of that Creature's Battlegear with a Battlegear Card in its controller's general discard pile.","Quando uma Criatura joga um ataque que possui tanto :fire:Fogo quanto :water:Água, seu controlador pode trocar um dos Equipamentos de Batalha dessa Criatura por um Card de Equipamento de Batalha na pilha de descarte geral de seu controlador.",,,Fire,Fogo
,Ok,The Darkened Dunes,As Dunas Escurecidas,,,"Creatures with :earth:Earth have ""Range"" and ""Swift 1.""","Criaturas com :earth:Terra têm ""Alcance"" e ""Agilidade 1"".","The dark whirlwind descends, enveloping you in its black, velvet grip... and never lets go.","O turbilhão escuro desce, envolvendo você em seu abraço negro e aveludado... e nunca mais o solta.",Air,Ar
,Ok,The Flame Gate,O Portão da Chamas,,,All attacks count as :fire:Fire attacks.,Todos os ataques contam como ataques de :fire:Fogo.,"""Maybe we should look for another way in."" — Mezzmarr","""Talvez devêssemos procurar outra forma de entrar."" — Mezzmarr",Fire,Fogo
,Ok,The Garden,O Jardim,,,"At the beginning of combat, all Creatures gain :water:Water.","No início do combate, todas as Criaturas ganham :water:Água.",Water is life.,A água é vida.,Speed,Velocidade
,Ok,The Golden Heptagon,O Heptágono Dourado,,,Creatures can play Mugic of any Tribe or affiliation.,As Criaturas podem jogar Mugic de qualquer Tribo ou afiliação.,"At the base of the Citadel, a golden room offers its visitors a taste of an elusive dream...","Na base da Cidadela, uma sala dourada oferece aos seus visitantes um vislumbre de um sonho inatingível...",Power,Poder
,Ok,The Heart of the Jungle,O Coração da Selva,,,"When one engaged Creature increases or decreases a Discipline except from this ability, increases or decreases that Discipline of the other engaged Creature by the same amount. 
Mirage: Creatures in this space have an additional 10 in all Disciplines.","Quando uma Criatura Engajada aumenta ou diminui uma Disciplina, exceto por esta habilidade, aumenta ou diminui a Disciplina da outra Criatura Engajada na mesma quantidade.
Miragem: Criaturas neste espaço têm um adicional de 10 em todas as Disciplinas.",,,OverWorld,Outro Mundo
2,Ok,The Hive Gallery,Galeria da Colmeia,,,"Engaged Creatures have ""Outperform :courage:Courage 5."" 
Damage dealt by :power:Power Attacks is reduced by 5.","Criaturas Engajadas têm ""Superar :courage:Coragem 5"".

O dano causado por Ataques de :power:Poder é reduzido em 5.","As long as we never forget the fallen, they will live forever.","Enquanto jamais nos esquecermos dos que caíram, eles viverão para sempre.",Earth,Terra
,Ok,The Hunter's Perimeter,O Perímetro do Caçador,,,"When this becomes the active Location, Mipedian Creatures gain ""Invisibility: Surprise.""
At the beginning of combat, reveal a new active Location.
Mirage: Creatures in this space cannot lose Invisibility from Mugic or abilities. Invisibility abilities of Creatures in this space work against Creatures with Invisibility.","Quando este Local se torna o Local ativo, as Criaturas Mipedians ganham ""Invisibilidade: Surpresa"".
No início do combate, revele um novo Local ativo.
Miragem: Criaturas neste espaço não podem perder a Invisibilidade por Mugic ou habilidades. Habilidades de Invisibilidade de Criaturas neste espaço funcionam contra Criaturas com Invisibilidade.",,,Speed,Velocidade
,Ok,The Infectorium,O Infectório,,,"At the beginning of combat, deal 15 damage to Infected engaged non-Danian Creatures.","No início do combate, cause 15 pontos de dano a Criaturas não-danians infectadas que estejam em combate.","As the breeding ground of millions of parasites, Danians can infect every Creature in Perim a hundred times over.","Como criadouro de milhões de parasitas, os Danians podem infectar todas as Criaturas em Perim cem vezes.",Courage,Coragem
,Ok,The Magma Dam,A Barragem de Magma,,,"Creatures without :fire:Fire have ""Recklessness 5.""","Criaturas sem :fire:Fogo têm ""Imprudência 5"".","""It only needs to hold until Chaor's hordes have amassed!"" — Khybon","""Só precisa aguentar até que as hordas de Chaor se reúnam!"" — Khybon",Air,Ar
,Ok,The Northrange,Northrange,Highground,Terreno elevado,"When this becomes the active Location, choose a Tribe. All Creatures also count as that Tribe. 
Mirage: Creatures in this space count as all Tribes.","Quando este Local se tornar o ativo, escolha uma Tribo. Todas as Criaturas também contam como pertencentes a essa Tribo.
Miragem: As Criaturas neste espaço contam como pertencentes a todas as Tribos.",,,Courage,Coragem
,Ok,The Oligarch's Path,O Caminho do Oligarca,,,"Chieftain Creatures have an additional 10 Energy.
Creatures pay 4 less Mugic counters to play Mugic named Calling of Aa'une.","As Criaturas Chefe têm 10 de Energia adicionais.
As Criaturas pagam 4 marcadores de Mugic a menos para jogar Mugic com nome ""Chamado de Aa'une"".",Najarin's visions were getting more disturbing. How could the worst be still to come?!?,As visões de Najarin estavam ficando cada vez mais perturbadoras. Como o pior ainda poderia estar por vir?!,Chieftain,Chefe
2,Ok,The OverWorld Library,A Biblioteca do Outro Mundo,,,"Engaged Creatures have ""Outperform :wisdom:Wisdom 5."" 
Damage dealt by :courage:Courage Attacks is reduced by 5.","Criaturas Engajadas têm ""Superar :wisdom:Sabedoria 5"".

O dano causado por Ataques de :courage:Coragem é reduzido em 5.","From cookbooks to Cothica clues, every book written is within.","De livros de receitas a dicas de culinária, todos os livros escritos estão aqui.",Water,Água
,Ok,The Passage,A Passagem,OverWorld,Outro Mundo,"The first time a Creature loses an Elemental Type this turn, it loses 10 Energy.","Na primeira vez que uma Criatura perder um Tipo Elemental neste turno, ela perde 10 de Energia.","...plunging into the void until a faint glow illuminates from bellow, a light not so inviting.","...mergulhando no vazio até que um brilho tênue ilumine o interior, uma luz nada convidativa.",UnderWorld,Submundo
,Ok,The Passage,A Passagem,UnderWorld,SubMundo,"The first time a Creature gains an Elemental Type this turn, it gains 10 Energy.","Na primeira vez que uma Criatura adquire um Tipo Elemental neste turno, ela ganha 10 de Energia.","From the warm rays of the inviting sun, the stairs spiral into chilling darkness...","Da luz quente e convidativa do sol, a escada em espiral mergulha na escuridão gélida...",OverWorld,Outro Mundo
,Ok,The Phalanx Portcullis,A Porta de Ferro da Falange,,,"Creatures with less than 50 :courage:Courage deal 5 less attack damage.
Creatures with more than 100 :courage:Courage deal an additional 5 attack damage.","Criaturas com menos de 50 de :courage:Coragem causam 5 pontos de dano de ataque a menos.

Criaturas com mais de 100 de :courage:Coragem causam 5 pontos de dano de ataque adicionais.",,,Scanned Energy,Energia Escaneada
,Ok,The Phlogiston,O Flogisto,,,"At the beginning of combat, all Creatures gain :fire:Fire.","No início do combate, todas as Criaturas ganham :fire:Fogo.","The land melts, boils and erupts, creating an ever-shifting landscape.","A terra derrete, ferve e entra em erupção, criando uma paisagem em constante transformação.",Courage,Coragem
2,Ok,The Pits,Os Poços,,,"Engaged Creatures have ""Outperform :power:Power 5."" 
Damage dealt by :speed:Speed Attacks is reduced by 5.","Criaturas Engajadas têm ""Superar :power:Poder 5.""

O dano causado por ataques de :speed:Velocidade é reduzido em 5.",The UnderWorlders are fair - all are guilty until proven innocent.,Os habitantes do Submundo são justos - todos são culpados até que se prove o contrário.,Fire,Fogo
,Ok,The Rao'Pa Sahkk Chimegrid,A Grade de Sinos Rao'Pa Sahkk,,,"When this becomes the active Location, each player puts a :genericmugic: on a Creature they control.","Quando este Local se torna o Local ativo, cada jogador coloca um :genericmugic: em uma Criatura que controla.",The sound reverberated far and wide - the Song of Doom!,O som reverberou por toda parte - a Canção da Perdição!,Mugic counters,Contadores de Mugic
